cond1,cond2,leakiness,inference1,inference2,ManipCheck,stigma1,stigma2,stigma3,dis1,dis2,dis3,dis4,dis5,dis6,dis7,dis8,DisShape,DisWeight,cc1,cc2,gender,age,employment,HeightFeet,HeightInches,height,lbs,total_t,z_beg,z_end
2,4,-2,2,-2,-2,6,6,6,6,3,7,6,1,1,7,1,1,1,3,1,1,25,Yes: full-time,6,0,72,300,4.8333335,8/17/2012 at 1:42 PM,8/17/2012 at 1:47 PM
2,2,-1,1,1,-2,3,6,7,5,1,5,6,2,1,5,1,1,1,3,1,1,24,No,5,8,68,250,3.4,8/17/2012 at 1:44 PM,8/17/2012 at 1:47 PM
1,1,-1,-2,2,1,1,1,1,2,7,1,1,6,6,1,5,3,3,3,2,2,25,Yes: full-time,5,6,66,221,4.2,8/17/2012 at 1:43 PM,8/17/2012 at 1:48 PM
1,1,-1,0,0,-2,4,4,4,5,5,5,5,3,3,3,3,5,5,3,2,2,33,Yes: full-time,5,3,63,135,4.5,8/17/2012 at 1:43 PM,8/17/2012 at 1:48 PM
2,2,-2,1,1,-3,7,6,7,4,4,5,6,2,1,6,2,3,3,3,1,1,33,Yes: full-time,6,0,72,220,3.2833333,8/17/2012 at 1:44 PM,8/17/2012 at 1:48 PM
1,1,0,-2,1,2,2,2,3,2,6,2,3,4,3,3,3,5,6,3,2,1,19,No,5,7,67,150,2.95,8/17/2012 at 1:45 PM,8/17/2012 at 1:48 PM
2,4,-3,1,0,-3,2,2,2,3,4,4,4,3,3,4,2,6,7,3,1,2,19,No,5,3,63,115,3.3833334,8/17/2012 at 1:45 PM,8/17/2012 at 1:49 PM
2,2,0,-1,0,0,6,3,6,3,2,3,5,4,6,5,5,2,1,3,2,1,27,Yes: full-time,5,6,66,170,1.7833333,8/17/2012 at 1:48 PM,8/17/2012 at 1:50 PM
1,1,-3,2,3,2,1,1,1,1,7,1,1,7,4,2,3,6,6,3,2,1,27,Yes: full-time,6,0,72,175,4.45,8/17/2012 at 1:47 PM,8/17/2012 at 1:51 PM
2,3,-3,2,2,-3,6,6,6,4,3,5,6,1,2,5,2,2,3,3,1,2,20,Yes: part-time,5,1,61,190,3.9,8/17/2012 at 1:47 PM,8/17/2012 at 1:51 PM
1,1,-3,3,1,3,4,7,7,7,3,7,7,1,1,7,1,1,1,1,2,1,30,No,5,8,68,450,4.5333333,8/17/2012 at 1:48 PM,8/17/2012 at 1:52 PM
1,1,1,1,0,2,5,5,6,3,4,5,4,2,4,5,3,5,6,3,2,2,28,Yes: full-time,5,0,60,3,2.9833333,8/17/2012 at 1:49 PM,8/17/2012 at 1:52 PM
2,3,-3,2,2,-3,1,1,7,2,4,6,6,2,1,6,1,3,5,3,1,1,34,Yes: part-time,5,1,61,150,6.75,8/17/2012 at 1:46 PM,8/17/2012 at 1:53 PM
1,1,2,-1,0,2,1,1,7,1,6,2,2,6,5,5,6,3,5,3,2,1,46,Yes: full-time,6,0,72,185,3.1833334,8/17/2012 at 1:50 PM,8/17/2012 at 1:53 PM
2,2,-2,1,1,-2,5,5,5,4,5,5,5,2,2,5,2,5,4,3,1,1,24,No,6,0,72,230,4.3,8/17/2012 at 1:48 PM,8/17/2012 at 1:53 PM
2,4,-2,2,1,-3,5,3,5,5,4,5,5,3,3,5,2,4,3,3,1,1,18,No,5,11,71,185,6.8333335,8/17/2012 at 1:46 PM,8/17/2012 at 1:53 PM
2,2,-3,1,0,-3,6,5,6,3,5,4,4,3,4,3,3,3,3,3,1,2,38,No,5,2,62,135,2.9333334,8/17/2012 at 1:50 PM,8/17/2012 at 1:53 PM
2,2,2,0,2,2,2,2,2,3,6,3,3,6,6,3,6,4,4,3,1,1,24,Yes: full-time,5,1,61,150,2.1,8/17/2012 at 1:52 PM,8/17/2012 at 1:54 PM
1,1,2,0,2,2,1,1,2,1,6,1,1,6,1,1,4,6,7,3,2,1,27,Yes: full-time,6,0,72,165,2.7666667,8/17/2012 at 1:51 PM,8/17/2012 at 1:54 PM
2,4,2,0,1,1,1,1,1,2,7,1,1,7,6,2,3,4,5,3,1,2,20,No,5,0,60,120,4.25,8/17/2012 at 1:51 PM,8/17/2012 at 1:55 PM
2,4,-2,1,1,-2,3,1,3,5,4,5,5,5,2,5,2,4,5,3,1,1,18,No,6,3,75,180,3.3,8/17/2012 at 1:53 PM,8/17/2012 at 1:56 PM
2,2,-2,2,2,-3,1,1,5,4,4,2,4,5,1,5,2,3,3,3,1,1,23,No,5,9,69,120,2.75,8/17/2012 at 1:54 PM,8/17/2012 at 1:57 PM
1,1,0,2,3,3,1,1,1,1,7,1,1,7,7,1,7,3,3,3,2,2,21,No,5,11,71,126,2.3166666,8/17/2012 at 1:54 PM,8/17/2012 at 1:57 PM
2,3,-2,1,2,-2,1,1,1,1,7,1,1,7,7,1,7,5,7,3,1,1,29,Yes: part-time,5,11,71,145,3.8166666,8/17/2012 at 1:53 PM,8/17/2012 at 1:57 PM
2,3,-3,-2,3,-3,1,2,4,1,4,1,1,3,4,2,4,1,1,2,1,2,64,No,5,1,61,135,7.05,8/17/2012 at 1:50 PM,8/17/2012 at 1:57 PM
2,2,-3,3,3,3,6,7,6,1,6,3,4,5,5,3,5,6,6,3,2,1,29,Yes: full-time,5,7,67,147,6.0666666,8/17/2012 at 1:51 PM,8/17/2012 at 1:58 PM
2,3,-3,1,0,3,3,4,4,1,7,2,2,5,6,3,1,1,3,3,1,2,26,No,5,5,65,135,4.383333,8/17/2012 at 1:53 PM,8/17/2012 at 1:58 PM
2,4,-2,3,2,-3,4,4,4,2,5,2,5,3,2,2,3,2,3,3,1,2,26,Yes: full-time,5,8,68,160,2.3833334,8/17/2012 at 1:56 PM,8/17/2012 at 1:58 PM
2,2,-2,0,0,-2,1,1,4,1,7,5,5,1,1,3,2,3,4,3,1,1,30,Yes: full-time,5,8,68,150,5.15,8/17/2012 at 1:54 PM,8/17/2012 at 1:59 PM
2,2,1,1,0,1,5,5,4,3,4,3,5,4,4,4,,4,5,3,1,1,24,Yes: part-time,5,8,68,155,2.5833333,8/17/2012 at 1:57 PM,8/17/2012 at 1:59 PM
2,2,-3,2,-2,-3,5,2,5,4,5,5,5,6,2,6,2,2,2,3,1,1,24,No,5,5,65,200,3.5166667,8/17/2012 at 1:56 PM,8/17/2012 at 2:00 PM
1,1,2,-1,2,2,2,3,5,1,6,2,2,5,4,2,3,4,6,3,2,1,21,Yes: part-time,5,8,68,140,3.4833333,8/17/2012 at 1:56 PM,8/17/2012 at 2:00 PM
2,3,0,3,2,-3,4,,1,2,7,3,1,7,6,4,4,6,7,3,1,1,19,No,5,3,63,130,3.9166667,8/17/2012 at 1:57 PM,8/17/2012 at 2:01 PM
1,1,3,1,3,3,1,1,4,1,7,1,3,6,5,1,7,3,5,3,2,2,18,No,5,5,65,125,1.8666667,8/17/2012 at 2:01 PM,8/17/2012 at 2:03 PM
2,4,-3,3,3,0,7,7,7,2,7,6,6,2,6,4,1,3,6,3,1,1,20,Yes: part-time,6,4,76,190,2.1166666,8/17/2012 at 2:02 PM,8/17/2012 at 2:04 PM
2,3,-3,3,3,-3,7,4,3,3,4,7,7,1,1,6,1,6,7,3,1,2,27,No,5,6,66,126,5.4166665,8/17/2012 at 2:00 PM,8/17/2012 at 2:06 PM
2,2,0,0,0,-3,2,1,1,1,7,1,1,7,7,1,7,5,5,3,1,1,22,Yes: full-time,5,8,68,180,3.05,8/17/2012 at 2:03 PM,8/17/2012 at 2:06 PM
2,2,0,0,0,3,1,1,4,4,7,1,1,7,4,1,4,5,5,3,1,1,32,Yes: full-time,5,1,61,165,2.7,8/17/2012 at 2:04 PM,8/17/2012 at 2:07 PM
2,2,-2,2,-2,-2,3,2,2,4,4,4,4,5,3,4,3,6,7,3,1,2,22,Yes: full-time,5,2,62,102,4.133333,8/17/2012 at 2:03 PM,8/17/2012 at 2:07 PM
1,1,0,0,0,1,1,1,1,1,7,1,1,7,1,1,1,2,2,3,2,1,28,Yes: full-time,6,3,75,240,3.0666666,8/17/2012 at 2:05 PM,8/17/2012 at 2:08 PM
2,4,-2,2,1,-3,3,2,4,2,6,1,2,6,3,2,3,5,5,3,1,1,20,Yes: part-time,5,8,68,145,2.5166667,8/17/2012 at 2:07 PM,8/17/2012 at 2:10 PM
2,2,-3,2,2,-3,7,7,7,7,1,7,7,1,1,7,1,3,4,3,1,1,19,No,6,4,76,250,3.8166666,8/17/2012 at 2:06 PM,8/17/2012 at 2:10 PM
2,3,-1,-1,1,1,1,1,1,1,7,1,1,7,6,1,5,3,6,3,2,1,27,No,5,1,61,170,4.5333333,8/17/2012 at 2:06 PM,8/17/2012 at 2:10 PM
2,3,0,0,3,0,6,7,7,7,2,,7,1,1,7,1,7,7,3,1,1,20,No,5,1,61,125,2.3,8/17/2012 at 2:11 PM,8/17/2012 at 2:13 PM
1,1,2,0,2,2,4,4,6,6,3,4,4,4,2,6,4,4,4,3,2,1,24,No,5,8,68,173,4.1833334,8/17/2012 at 2:11 PM,8/17/2012 at 2:16 PM
2,2,-3,3,3,-3,7,7,7,7,1,7,7,7,1,7,1,4,4,3,1,2,27,Yes: part-time,5,0,60,140,2.4166667,8/17/2012 at 2:15 PM,8/17/2012 at 2:17 PM
2,2,-2,1,-1,-2,3,1,5,4,4,3,4,4,4,,4,5,5,3,1,1,29,Yes: full-time,6,0,72,170,2.8833334,8/17/2012 at 2:15 PM,8/17/2012 at 2:18 PM
