cond1,cond2,ManipCheck,fair,support,inference1,inference2,leakiness,fps1,fps2,fps3,fps4,fps5,fps6,fps7,fps8,fps9,fps10,fps11,fps12,fps13,fps14,cc1,cc2,age,gender,political,lbs,HeightFeet,HeightInches,Height,total_t,z_beg,z_end
1,1,2,1,1,0,2,2,1,1,6,5,6,6,6,1,1,6,1,6,1,1,3,2,24,2,,119,5,5,65,3.3166666,4/30/2010 at 8:32 AM,4/30/2010 at 8:36 AM
2,3,-3,-2,-1,2,3,-3,2,3,4,5,4,4,4,3,2,6,5,6,1,1,3,1,28,2,1,190,5,7,67,2.85,4/30/2010 at 10:10 AM,4/30/2010 at 10:13 AM
1,1,-2,-2,-2,2,3,-3,3,3,5,5,5,5,5,2,3,5,2,5,2,2,3,2,22,,6,125,5,5,65,4.25,4/30/2010 at 12:36 PM,4/30/2010 at 12:41 PM
1,1,3,1,3,-2,2,2,2,3,5,4,4,3,4,4,4,3,2,6,2,3,3,2,28,1,4,160,6,0,72,4.516667,4/30/2010 at 12:54 PM,4/30/2010 at 12:58 PM
2,2,-3,-3,-3,2,-1,-2,2,2,4,4,5,5,5,4,3,5,4,5,3,3,2,1,32,2,2,125,5,10,70,5.7,4/30/2010 at 12:57 PM,4/30/2010 at 1:02 PM
1,1,-3,-3,-3,3,0,-3,4,3,6,5,5,5,5,1,2,6,4,6,1,1,3,2,39,1,5,200,5,10,70,3.5166667,4/30/2010 at 1:04 PM,4/30/2010 at 1:07 PM
2,3,-2,0,-1,-1,1,-3,2,3,4,4,5,5,5,3,2,5,2,5,3,2,3,1,25,1,6,255,6,5,77,3.1,4/30/2010 at 1:05 PM,4/30/2010 at 1:08 PM
2,4,-3,-3,-3,3,-3,-3,4,3,3,5,4,5,4,4,3,5,3,5,3,2,3,1,25,1,6,190,5,8,68,4.3166666,4/30/2010 at 1:04 PM,4/30/2010 at 1:08 PM
2,2,-3,-2,-3,2,2,-3,3,3,4,4,5,5,4,4,3,4,4,4,3,3,3,1,25,2,3,200,5,9,69,2.95,4/30/2010 at 1:06 PM,4/30/2010 at 1:09 PM
2,4,0,1,1,-1,0,0,4,3,3,3,4,4,3,4,3,4,4,4,3,3,3,1,47,1,7,215,5,10,70,3.4166667,4/30/2010 at 1:12 PM,4/30/2010 at 1:15 PM
